,Barrio,Barrio Latitude,Barrio Longitude,Venue,Venue Latitude,Venue Longitude,Category
164,El Gòtic,41.3833947,2.1769119,La Veintinueve,41.380616420878766,2.1783409358462174,Women's Store
165,El Gòtic,41.3833947,2.1769119,Bodega Biarritz,41.379839648869485,2.176050292648821,Tapas Restaurant
166,El Gòtic,41.3833947,2.1769119,Disney Store,41.385169208606875,2.1735747711455904,Toy / Game Store
167,El Gòtic,41.3833947,2.1769119,La Burnessa,41.380555628590145,2.178273078115063,Bar
168,El Gòtic,41.3833947,2.1769119,Vegetalia,41.380364,2.177656,Vegetarian / Vegan Restaurant
169,El Gòtic,41.3833947,2.1769119,Pinotxo,41.38200482752299,2.171994616750706,Mediterranean Restaurant
170,El Gòtic,41.3833947,2.1769119,Bar Mariatchi,41.37967414197191,2.1780405073363913,Bar
171,El Gòtic,41.3833947,2.1769119,Nou Pipa Club,41.38015657844433,2.1750225214092063,Speakeasy
172,El Gòtic,41.3833947,2.1769119,Plaça Vila de Madrid,41.38456590214107,2.1720975680036325,Plaza
173,El Gòtic,41.3833947,2.1769119,L’orwell,41.380369,2.17708,Coffee Shop
174,El Gòtic,41.3833947,2.1769119,Rossini,41.379912394924084,2.1758636624144856,Italian Restaurant
175,El Gòtic,41.3833947,2.1769119,Oviso,41.380646618864674,2.177090048789978,Restaurant
176,El Gòtic,41.3833947,2.1769119,Palau de la Música Catalana (Palacio de la Música Catalana),41.3875955955081,2.17529833316803,Concert Hall
177,El Gòtic,41.3833947,2.1769119,L'Arc de Triomf,41.38112402443637,2.1733259440672965,Historic Site
178,El Gòtic,41.3833947,2.1769119,Bastaix,41.383740223493604,2.182379057001545,Spanish Restaurant
179,El Gòtic,41.3833947,2.1769119,La Plata,41.380407124532816,2.1806252002716064,Spanish Restaurant
180,El Gòtic,41.3833947,2.1769119,Carabassa,41.379934383752875,2.179054162553331,Italian Restaurant
181,El Gòtic,41.3833947,2.1769119,Tabarlot,41.3807619378269,2.173192158306165,Tapas Restaurant
182,El Gòtic,41.3833947,2.1769119,Oggi Gelato | Officina Gelato Gusto Italiano,41.38660423221586,2.173326507695335,Ice Cream Shop
183,El Gòtic,41.3833947,2.1769119,Nike Store,41.38361909275254,2.1716833859682083,Sporting Goods Shop
184,El Gòtic,41.3833947,2.1769119,Direkte Boqueria,41.381433,2.172153,Spanish Restaurant
185,El Gòtic,41.3833947,2.1769119,Ramblas 2,41.38039181276278,2.1740582359721197,Boarding House
186,El Gòtic,41.3833947,2.1769119,Museu Picasso,41.38498817538641,2.1810862205086083,Art Museum
187,El Gòtic,41.3833947,2.1769119,Barcelona Cooking (Cooking classes),41.38036226316934,2.1740409661678726,Spanish Restaurant
188,El Gòtic,41.3833947,2.1769119,Ateneu Barcelonès,41.38431379076869,2.171692461879392,Cultural Center
189,El Gòtic,41.3833947,2.1769119,Gocce di Latte,41.3832033,2.1827056,Ice Cream Shop
190,El Gòtic,41.3833947,2.1769119,El Quim de la Boqueria,41.38190813537722,2.1719485229278814,Tapas Restaurant
191,El Gòtic,41.3833947,2.1769119,Hotel Catalonia Portal de l'Àngel,41.38543500570213,2.1727432955330657,Hotel
192,El Gòtic,41.3833947,2.1769119,Viana,41.37984596721789,2.1760936566327205,Mediterranean Restaurant
193,El Gòtic,41.3833947,2.1769119,Chök,41.38283940566987,2.1713176727321084,Donut Shop
194,El Gòtic,41.3833947,2.1769119,Kiosko Universal,41.381681,2.172192,Seafood Restaurant
195,El Gòtic,41.3833947,2.1769119,Tucco,41.37939270093422,2.178638979824464,Italian Restaurant
196,El Gòtic,41.3833947,2.1769119,Koku Kitchen Ramen,41.379898,2.1792042,Ramen Restaurant
197,El Gòtic,41.3833947,2.1769119,Zara,41.38547388498249,2.173231716206935,Clothing Store
198,El Gòtic,41.3833947,2.1769119,Por estas calles,41.379799,2.176484,Sandwich Place
199,El Gòtic,41.3833947,2.1769119,BCN Rambla,41.38311614610157,2.1716623491079283,Hotel
200,El Raval,41.3795176,2.1683678,A Tu Bola,41.38009591524072,2.169054173364087,Tapas Restaurant
201,El Raval,41.3795176,2.1683678,Arume,41.378953172641666,2.166007761028043,Spanish Restaurant
202,El Raval,41.3795176,2.1683678,Cera 23,41.37894663219354,2.1661802076793903,Spanish Restaurant
203,El Raval,41.3795176,2.1683678,La Robadora,41.37949971573528,2.170463226095951,Gastropub
204,El Raval,41.3795176,2.1683678,33/45,41.38105850000668,2.167399262040874,Cocktail Bar
205,El Raval,41.3795176,2.1683678,Chulapio,41.37926419687337,2.165904503389862,Cocktail Bar
206,El Raval,41.3795176,2.1683678,Robadors 23,41.3795810931896,2.170602825214247,Jazz Club
207,El Raval,41.3795176,2.1683678,Las Fernández,41.37818332916318,2.166353561390829,Mediterranean Restaurant
208,El Raval,41.3795176,2.1683678,La Monroe,41.37879505890736,2.1706922512171314,Spanish Restaurant
209,El Raval,41.3795176,2.1683678,Ølgod,41.380124308513615,2.1691978203880504,Beer Bar
210,El Raval,41.3795176,2.1683678,Teddys - Libanés,41.380939,2.167959,Fast Food Restaurant
211,El Raval,41.3795176,2.1683678,Filmoteca de Catalunya,41.37854031238799,2.171100584858405,Movie Theater
212,El Raval,41.3795176,2.1683678,Grey Street,41.38084804250558,2.1666093867456264,Gift Shop
213,El Raval,41.3795176,2.1683678,Guixot,41.37850876727247,2.16780624558513,Spanish Restaurant
214,El Raval,41.3795176,2.1683678,El Jardí Cafè,41.38088863294609,2.170153756595532,Café
215,El Raval,41.3795176,2.1683678,Zelig,41.379653935953186,2.1661675087203136,Gay Bar
216,El Raval,41.3795176,2.1683678,Marmalade,41.38044565001309,2.1672535129247925,Cocktail Bar
217,El Raval,41.3795176,2.1683678,Bar Resolís,41.38042825036932,2.1679569820836773,Tapas Restaurant
218,El Raval,41.3795176,2.1683678,Ófis Restaurant,41.37863553875484,2.1706684402250858,Mediterranean Restaurant
219,El Raval,41.3795176,2.1683678,Jardins de Rubió i Lluch,41.38087519007823,2.170135601187659,Garden
220,El Raval,41.3795176,2.1683678,Pesca Salada,41.37842999610753,2.1655226242257246,Cocktail Bar
221,El Raval,41.3795176,2.1683678,Bodega Armando,41.37997449220553,2.164890584751975,Wine Bar
222,El Raval,41.3795176,2.1683678,Carlota Akaneya,41.38234896543694,2.168812344861435,Japanese Restaurant
223,El Raval,41.3795176,2.1683678,Caravelle,41.38233748488436,2.1688183373821532,Café
